Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Luleå-Kallax Flygplats;162860;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1946-02-01 00:00:00;2023-05-31 23:59:59;19.9;65.5430;22.1240

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1946-01-01 00:00:01;1946-02-01 00:00:00;1946-01;-6.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1946-02-01 00:00:01;1946-03-01 00:00:00;1946-02;-13.1;Y;;Tidsperiod (fr.o.m.) = 1946-02-01 00:00:00 (UTC)
1946-03-01 00:00:01;1946-04-01 00:00:00;1946-03;-7.6;Y;;Tidsperiod (t.o.m.) = 2023-03-01 06:00:00 (UTC)
1946-04-01 00:00:01;1946-05-01 00:00:00;1946-04;0.4;Y;;Medelvärdet är beräknat för = 1 månad
1946-05-01 00:00:01;1946-06-01 00:00:00;1946-05;6.2;Y;;
1946-06-01 00:00:01;1946-07-01 00:00:00;1946-06;11.9;Y;;Kvalitetskoderna:
1946-07-01 00:00:01;1946-08-01 00:00:00;1946-07;16.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1946-08-01 00:00:01;1946-09-01 00:00:00;1946-08;14.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1946-09-01 00:00:01;1946-10-01 00:00:00;1946-09;10.8;Y;;
1946-10-01 00:00:01;1946-11-01 00:00:00;1946-10;2.5;Y;;Nätinformation:
1946-11-01 00:00:01;1946-12-01 00:00:00;1946-11;-3.2;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1946-12-01 00:00:01;1947-01-01 00:00:00;1946-12;-2.1;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1947-01-01 00:00:01;1947-02-01 00:00:00;1947-01;-8.2;Y;;
1947-02-01 00:00:01;1947-03-01 00:00:00;1947-02;-18.4;Y;;Möjliga orsaker till saknade data:
1947-03-01 00:00:01;1947-04-01 00:00:00;1947-03;-13.2;Y;;- stationen eller givaren har varit ur funktion.
1947-04-01 00:00:01;1947-05-01 00:00:00;1947-04;-0.4;Y;;- stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1947-05-01 00:00:01;1947-06-01 00:00:00;1947-05;7.4;Y
1947-06-01 00:00:01;1947-07-01 00:00:00;1947-06;13.3;Y
1947-07-01 00:00:01;1947-08-01 00:00:00;1947-07;17.5;Y
1947-08-01 00:00:01;1947-09-01 00:00:00;1947-08;14.4;Y
1947-09-01 00:00:01;1947-10-01 00:00:00;1947-09;10.7;Y
1947-10-01 00:00:01;1947-11-01 00:00:00;1947-10;1.9;Y
1947-11-01 00:00:01;1947-12-01 00:00:00;1947-11;-5.1;Y
1947-12-01 00:00:01;1948-01-01 00:00:00;1947-12;-8.8;Y
1948-01-01 00:00:01;1948-02-01 00:00:00;1948-01;-14.1;Y
1948-02-01 00:00:01;1948-03-01 00:00:00;1948-02;-9.6;Y
1948-03-01 00:00:01;1948-04-01 00:00:00;1948-03;-2.3;Y
1948-04-01 00:00:01;1948-05-01 00:00:00;1948-04;2.0;Y
1948-05-01 00:00:01;1948-06-01 00:00:00;1948-05;7.4;Y
1948-06-01 00:00:01;1948-07-01 00:00:00;1948-06;11.7;Y
1948-07-01 00:00:01;1948-08-01 00:00:00;1948-07;16.5;Y
1948-08-01 00:00:01;1948-09-01 00:00:00;1948-08;11.3;Y
1948-09-01 00:00:01;1948-10-01 00:00:00;1948-09;8.8;Y
1948-10-01 00:00:01;1948-11-01 00:00:00;1948-10;1.5;Y
1948-11-01 00:00:01;1948-12-01 00:00:00;1948-11;-2.6;Y
1948-12-01 00:00:01;1949-01-01 00:00:00;1948-12;-3.1;Y
1949-01-01 00:00:01;1949-02-01 00:00:00;1949-01;-4.9;Y
1949-02-01 00:00:01;1949-03-01 00:00:00;1949-02;-4.3;Y
1949-03-01 00:00:01;1949-04-01 00:00:00;1949-03;-5.9;Y
1949-04-01 00:00:01;1949-05-01 00:00:00;1949-04;0.2;Y
1949-05-01 00:00:01;1949-06-01 00:00:00;1949-05;6.7;Y
1949-06-01 00:00:01;1949-07-01 00:00:00;1949-06;11.0;Y
1949-07-01 00:00:01;1949-08-01 00:00:00;1949-07;14.3;Y
1949-08-01 00:00:01;1949-09-01 00:00:00;1949-08;12.7;Y
1949-09-01 00:00:01;1949-10-01 00:00:00;1949-09;10.9;Y
1949-10-01 00:00:01;1949-11-01 00:00:00;1949-10;2.6;Y
1949-11-01 00:00:01;1949-12-01 00:00:00;1949-11;0.9;Y
1949-12-01 00:00:01;1950-01-01 00:00:00;1949-12;-4.4;Y
1950-01-01 00:00:01;1950-02-01 00:00:00;1950-01;-14.6;Y
1950-02-01 00:00:01;1950-03-01 00:00:00;1950-02;-10.1;Y
1950-03-01 00:00:01;1950-04-01 00:00:00;1950-03;-4.7;Y
1950-04-01 00:00:01;1950-05-01 00:00:00;1950-04;1.4;Y
1950-05-01 00:00:01;1950-06-01 00:00:00;1950-05;7.1;Y
1950-06-01 00:00:01;1950-07-01 00:00:00;1950-06;13.0;Y
1950-07-01 00:00:01;1950-08-01 00:00:00;1950-07;15.5;Y
1950-08-01 00:00:01;1950-09-01 00:00:00;1950-08;15.5;Y
1950-09-01 00:00:01;1950-10-01 00:00:00;1950-09;8.8;Y
1950-10-01 00:00:01;1950-11-01 00:00:00;1950-10;4.8;Y
1950-11-01 00:00:01;1950-12-01 00:00:00;1950-11;-3.5;Y
1950-12-01 00:00:01;1951-01-01 00:00:00;1950-12;-7.4;Y
1951-01-01 00:00:01;1951-02-01 00:00:00;1951-01;-14.1;Y
1951-02-01 00:00:01;1951-03-01 00:00:00;1951-02;-9.6;Y
1951-03-01 00:00:01;1951-04-01 00:00:00;1951-03;-8.1;Y
1951-04-01 00:00:01;1951-05-01 00:00:00;1951-04;0.3;Y
1951-05-01 00:00:01;1951-06-01 00:00:00;1951-05;4.1;Y
1951-06-01 00:00:01;1951-07-01 00:00:00;1951-06;10.4;Y
1951-07-01 00:00:01;1951-08-01 00:00:00;1951-07;12.4;Y
1951-08-01 00:00:01;1951-09-01 00:00:00;1951-08;15.3;Y
1951-09-01 00:00:01;1951-10-01 00:00:00;1951-09;10.0;Y
1951-10-01 00:00:01;1951-11-01 00:00:00;1951-10;5.1;Y
1951-11-01 00:00:01;1951-12-01 00:00:00;1951-11;-5.0;Y
1951-12-01 00:00:01;1952-01-01 00:00:00;1951-12;-5.7;Y
1952-01-01 00:00:01;1952-02-01 00:00:00;1952-01;-8.7;Y
1952-02-01 00:00:01;1952-03-01 00:00:00;1952-02;-8.0;Y
1952-03-01 00:00:01;1952-04-01 00:00:00;1952-03;-9.3;Y
1952-04-01 00:00:01;1952-05-01 00:00:00;1952-04;0.9;Y
1952-05-01 00:00:01;1952-06-01 00:00:00;1952-05;5.1;Y
1952-06-01 00:00:01;1952-07-01 00:00:00;1952-06;11.4;Y
1952-07-01 00:00:01;1952-08-01 00:00:00;1952-07;14.9;Y
1952-08-01 00:00:01;1952-09-01 00:00:00;1952-08;11.7;Y
1952-09-01 00:00:01;1952-10-01 00:00:00;1952-09;6.9;Y
1952-10-01 00:00:01;1952-11-01 00:00:00;1952-10;0.0;Y
1952-11-01 00:00:01;1952-12-01 00:00:00;1952-11;-4.7;Y
1952-12-01 00:00:01;1953-01-01 00:00:00;1952-12;-11.2;Y
1953-01-01 00:00:01;1953-02-01 00:00:00;1953-01;-10.6;Y
1953-02-01 00:00:01;1953-03-01 00:00:00;1953-02;-13.3;Y
1953-03-01 00:00:01;1953-04-01 00:00:00;1953-03;-1.6;Y
1953-04-01 00:00:01;1953-05-01 00:00:00;1953-04;0.9;Y
1953-05-01 00:00:01;1953-06-01 00:00:00;1953-05;6.0;Y
1953-06-01 00:00:01;1953-07-01 00:00:00;1953-06;16.7;Y
1953-07-01 00:00:01;1953-08-01 00:00:00;1953-07;15.3;Y
1953-08-01 00:00:01;1953-09-01 00:00:00;1953-08;13.9;Y
1953-09-01 00:00:01;1953-10-01 00:00:00;1953-09;8.2;Y
1953-10-01 00:00:01;1953-11-01 00:00:00;1953-10;5.1;Y
1953-11-01 00:00:01;1953-12-01 00:00:00;1953-11;-0.3;Y
1953-12-01 00:00:01;1954-01-01 00:00:00;1953-12;-2.5;Y
1954-01-01 00:00:01;1954-02-01 00:00:00;1954-01;-8.2;Y
1954-02-01 00:00:01;1954-03-01 00:00:00;1954-02;-13.5;Y
1954-03-01 00:00:01;1954-04-01 00:00:00;1954-03;-3.5;Y
1954-04-01 00:00:01;1954-05-01 00:00:00;1954-04;-0.8;Y
1954-05-01 00:00:01;1954-06-01 00:00:00;1954-05;7.9;Y
1954-06-01 00:00:01;1954-07-01 00:00:00;1954-06;10.8;Y
1954-07-01 00:00:01;1954-08-01 00:00:00;1954-07;16.0;Y
1954-08-01 00:00:01;1954-09-01 00:00:00;1954-08;14.0;Y
1954-09-01 00:00:01;1954-10-01 00:00:00;1954-09;9.2;Y
1954-10-01 00:00:01;1954-11-01 00:00:00;1954-10;1.5;Y
1954-11-01 00:00:01;1954-12-01 00:00:00;1954-11;-3.4;Y
1954-12-01 00:00:01;1955-01-01 00:00:00;1954-12;-3.5;Y
1955-01-01 00:00:01;1955-02-01 00:00:00;1955-01;-11.8;Y
1955-02-01 00:00:01;1955-03-01 00:00:00;1955-02;-14.4;Y
1955-03-01 00:00:01;1955-04-01 00:00:00;1955-03;-7.5;Y
1955-04-01 00:00:01;1955-05-01 00:00:00;1955-04;-3.3;Y
1955-05-01 00:00:01;1955-06-01 00:00:00;1955-05;3.6;Y
1955-06-01 00:00:01;1955-07-01 00:00:00;1955-06;9.9;Y
1955-07-01 00:00:01;1955-08-01 00:00:00;1955-07;16.6;Y
1955-08-01 00:00:01;1955-09-01 00:00:00;1955-08;15.1;Y
1955-09-01 00:00:01;1955-10-01 00:00:00;1955-09;10.3;Y
1955-10-01 00:00:01;1955-11-01 00:00:00;1955-10;0.9;Y
1955-11-01 00:00:01;1955-12-01 00:00:00;1955-11;-6.7;Y
1955-12-01 00:00:01;1956-01-01 00:00:00;1955-12;-14.7;Y
1956-01-01 00:00:01;1956-02-01 00:00:00;1956-01;-13.2;Y
1956-02-01 00:00:01;1956-03-01 00:00:00;1956-02;-15.9;Y
1956-03-01 00:00:01;1956-04-01 00:00:00;1956-03;-7.0;Y
1956-04-01 00:00:01;1956-05-01 00:00:00;1956-04;-3.6;Y
1956-05-01 00:00:01;1956-06-01 00:00:00;1956-05;6.3;Y
1956-06-01 00:00:01;1956-07-01 00:00:00;1956-06;11.9;Y
1956-07-01 00:00:01;1956-08-01 00:00:00;1956-07;15.1;Y
1956-08-01 00:00:01;1956-09-01 00:00:00;1956-08;12.3;Y
1956-09-01 00:00:01;1956-10-01 00:00:00;1956-09;8.1;Y
1956-10-01 00:00:01;1956-11-01 00:00:00;1956-10;0.7;Y
1956-11-01 00:00:01;1956-12-01 00:00:00;1956-11;-9.4;Y
1956-12-01 00:00:01;1957-01-01 00:00:00;1956-12;-9.1;Y
1957-01-01 00:00:01;1957-02-01 00:00:00;1957-01;-6.7;Y
1957-02-01 00:00:01;1957-03-01 00:00:00;1957-02;-8.3;Y
1957-03-01 00:00:01;1957-04-01 00:00:00;1957-03;-8.0;Y
1957-04-01 00:00:01;1957-05-01 00:00:00;1957-04;-0.5;Y
1957-05-01 00:00:01;1957-06-01 00:00:00;1957-05;5.0;Y
1957-06-01 00:00:01;1957-07-01 00:00:00;1957-06;10.5;Y
1957-07-01 00:00:01;1957-08-01 00:00:00;1957-07;17.3;Y
1957-08-01 00:00:01;1957-09-01 00:00:00;1957-08;14.5;Y
1957-09-01 00:00:01;1957-10-01 00:00:00;1957-09;8.3;Y
1957-10-01 00:00:01;1957-11-01 00:00:00;1957-10;2.8;Y
1957-11-01 00:00:01;1957-12-01 00:00:00;1957-11;-1.1;Y
1957-12-01 00:00:01;1958-01-01 00:00:00;1957-12;-7.8;Y
1958-01-01 00:00:01;1958-02-01 00:00:00;1958-01;-13.2;Y
1958-02-01 00:00:01;1958-03-01 00:00:00;1958-02;-12.1;Y
