Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lund;53430;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1748-04-01 00:00:00;1974-05-31 23:59:59;73.0;55.7089;13.2026
1974-06-01 00:00:00;1992-12-06 23:59:59;50.0;55.7089;13.2026
1993-01-01 00:00:00;1997-05-31 23:59:59;25.0;55.6930;13.2290
1997-06-01 00:00:00;2023-05-31 23:59:59;26.451;55.6932;13.2251

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1748-03-01 07:00:01;1748-04-01 07:00:00;1748-03;21.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1748-04-01 07:00:01;1748-05-01 07:00:00;1748-04;40.0;G;;Tidsperiod (fr.o.m.) = 1748-04-01 00:00:00 (UTC)
1748-05-01 07:00:01;1748-06-01 07:00:00;1748-05;42.0;G;;Tidsperiod (t.o.m.) = 2023-03-01 06:00:00 (UTC)
1748-06-01 07:00:01;1748-07-01 07:00:00;1748-06;65.0;G;;Värdet är summerat över = 1 månad
1748-07-01 07:00:01;1748-08-01 07:00:00;1748-07;32.0;G;;
1748-08-01 07:00:01;1748-09-01 07:00:00;1748-08;48.0;G;;Kvalitetskoderna:
1748-09-01 07:00:01;1748-10-01 07:00:00;1748-09;24.0;G;;Grön (G) = Kontrollerade och godkända värden.
1748-10-01 07:00:01;1748-11-01 07:00:00;1748-10;68.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1748-11-01 07:00:01;1748-12-01 07:00:00;1748-11;32.0;G;;
1748-12-01 07:00:01;1749-01-01 07:00:00;1748-12;82.0;G;;Nätinformation:
1749-01-01 07:00:01;1749-02-01 07:00:00;1749-01;41.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1749-02-01 07:00:01;1749-03-01 07:00:00;1749-02;23.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1749-03-01 07:00:01;1749-04-01 07:00:00;1749-03;14.0;G;;
1749-04-01 07:00:01;1749-05-01 07:00:00;1749-04;38.0;G;;Möjliga orsaker till saknade data:
1749-05-01 07:00:01;1749-06-01 07:00:00;1749-05;65.0;G;;- stationen eller givaren har varit ur funktion.
1749-06-01 07:00:01;1749-07-01 07:00:00;1749-06;37.0;G;;- stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1749-07-01 07:00:01;1749-08-01 07:00:00;1749-07;20.0;G
1749-08-01 07:00:01;1749-09-01 07:00:00;1749-08;38.0;G
1749-09-01 07:00:01;1749-10-01 07:00:00;1749-09;49.0;G
1749-10-01 07:00:01;1749-11-01 07:00:00;1749-10;37.0;G
1749-11-01 07:00:01;1749-12-01 07:00:00;1749-11;27.0;G
1749-12-01 07:00:01;1750-01-01 07:00:00;1749-12;43.0;G
1750-01-01 07:00:01;1750-02-01 07:00:00;1750-01;31.0;G
1750-02-01 07:00:01;1750-03-01 07:00:00;1750-02;60.0;G
1750-03-01 07:00:01;1750-04-01 07:00:00;1750-03;6.0;G
1750-04-01 07:00:01;1750-05-01 07:00:00;1750-04;31.0;G
1750-05-01 07:00:01;1750-06-01 07:00:00;1750-05;24.0;G
1750-06-01 07:00:01;1750-07-01 07:00:00;1750-06;32.0;G
1750-07-01 07:00:01;1750-08-01 07:00:00;1750-07;77.0;G
1750-08-01 07:00:01;1750-09-01 07:00:00;1750-08;49.0;G
1750-09-01 07:00:01;1750-10-01 07:00:00;1750-09;30.0;G
1750-10-01 07:00:01;1750-11-01 07:00:00;1750-10;44.0;G
1750-11-01 07:00:01;1750-12-01 07:00:00;1750-11;51.0;G
1750-12-01 07:00:01;1751-01-01 07:00:00;1750-12;27.0;G
1753-01-01 07:00:01;1753-02-01 07:00:00;1753-01;7.0;G
1753-02-01 07:00:01;1753-03-01 07:00:00;1753-02;39.0;G
1753-03-01 07:00:01;1753-04-01 07:00:00;1753-03;22.0;G
1753-04-01 07:00:01;1753-05-01 07:00:00;1753-04;52.0;G
1753-05-01 07:00:01;1753-06-01 07:00:00;1753-05;28.0;G
1753-06-01 07:00:01;1753-07-01 07:00:00;1753-06;20.0;G
1753-07-01 07:00:01;1753-08-01 07:00:00;1753-07;146.0;G
1753-08-01 07:00:01;1753-09-01 07:00:00;1753-08;41.0;G
1753-09-01 07:00:01;1753-10-01 07:00:00;1753-09;36.0;G
1753-10-01 07:00:01;1753-11-01 07:00:00;1753-10;21.0;G
1753-11-01 07:00:01;1753-12-01 07:00:00;1753-11;53.0;G
1753-12-01 07:00:01;1754-01-01 07:00:00;1753-12;24.0;G
1754-01-01 07:00:01;1754-02-01 07:00:00;1754-01;18.0;G
1754-02-01 07:00:01;1754-03-01 07:00:00;1754-02;16.0;G
1754-03-01 07:00:01;1754-04-01 07:00:00;1754-03;10.0;G
1754-04-01 07:00:01;1754-05-01 07:00:00;1754-04;21.0;G
1754-05-01 07:00:01;1754-06-01 07:00:00;1754-05;48.0;G
1754-06-01 07:00:01;1754-07-01 07:00:00;1754-06;79.0;G
1754-07-01 07:00:01;1754-08-01 07:00:00;1754-07;56.0;G
1754-08-01 07:00:01;1754-09-01 07:00:00;1754-08;61.0;G
1754-09-01 07:00:01;1754-10-01 07:00:00;1754-09;35.0;G
1754-10-01 07:00:01;1754-11-01 07:00:00;1754-10;50.0;G
1754-11-01 07:00:01;1754-12-01 07:00:00;1754-11;20.0;G
1754-12-01 07:00:01;1755-01-01 07:00:00;1754-12;42.0;G
1755-01-01 07:00:01;1755-02-01 07:00:00;1755-01;4.0;G
