Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Visby Flygplats;78400;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-11-01 00:00:00;2023-05-31 23:59:59;41.05;57.6678;18.3516

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1945-10-01 00:00:01;1945-11-01 00:00:00;1945-10;8.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1945-11-01 00:00:01;1945-12-01 00:00:00;1945-11;3.9;Y;;Tidsperiod (fr.o.m.) = 1945-11-01 00:00:00 (UTC)
1945-12-01 00:00:01;1946-01-01 00:00:00;1945-12;0.1;Y;;Tidsperiod (t.o.m.) = 2023-03-01 06:00:00 (UTC)
1946-01-01 00:00:01;1946-02-01 00:00:00;1946-01;-0.5;Y;;Medelvärdet är beräknat för = 1 månad
1946-02-01 00:00:01;1946-03-01 00:00:00;1946-02;-2.0;Y;;
1946-03-01 00:00:01;1946-04-01 00:00:00;1946-03;-0.5;Y;;Kvalitetskoderna:
1946-04-01 00:00:01;1946-05-01 00:00:00;1946-04;6.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1946-05-01 00:00:01;1946-06-01 00:00:00;1946-05;9.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1946-06-01 00:00:01;1946-07-01 00:00:00;1946-06;13.5;Y;;
1946-07-01 00:00:01;1946-08-01 00:00:00;1946-07;17.6;Y;;Nätinformation:
1946-08-01 00:00:01;1946-09-01 00:00:00;1946-08;15.7;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1946-09-01 00:00:01;1946-10-01 00:00:00;1946-09;13.2;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1946-10-01 00:00:01;1946-11-01 00:00:00;1946-10;6.1;Y;;
1946-11-01 00:00:01;1946-12-01 00:00:00;1946-11;3.5;Y;;Möjliga orsaker till saknade data:
1946-12-01 00:00:01;1947-01-01 00:00:00;1946-12;0.2;Y;;- stationen eller givaren har varit ur funktion.
1947-01-01 00:00:01;1947-02-01 00:00:00;1947-01;-4.3;Y;;- stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1947-02-01 00:00:01;1947-03-01 00:00:00;1947-02;-9.2;Y
1947-03-01 00:00:01;1947-04-01 00:00:00;1947-03;-4.2;Y
1947-04-01 00:00:01;1947-05-01 00:00:00;1947-04;4.4;Y
1947-05-01 00:00:01;1947-06-01 00:00:00;1947-05;10.4;Y
1947-06-01 00:00:01;1947-07-01 00:00:00;1947-06;15.3;Y
1947-07-01 00:00:01;1947-08-01 00:00:00;1947-07;17.8;Y
1947-08-01 00:00:01;1947-09-01 00:00:00;1947-08;16.8;Y
